Loaded 225256 records from compare/pre_reweight_snapshot.csv.gz
...reweighting for year 2021
...weight deviation penalty: 0.01
...gradient norm tolerance: 1e-05
...weight multiplier bounds: [0.1, 10.0]
...GPU available but disabled by user, using CPU
...pre-scaled weights: target filers=160,824,340, current filers=161,180,573, scale=0.997790
Targeting 550 SOI statistics
...input records: 225256, columns: 212
...input weights: total=183102955.22, mean=812.866051, sdev=733.258325
...initial loss: 30.1622806381
...using OSQP solver (ADMM-based QP, proper bounds)
...QP size: 225806 variables, 226356 constraints
...B matrix: 225256x550, 2,705,680 nonzeros (2.2% dense)
...A_osqp: (226356, 225806), 2,932,036 nonzeros
...OSQP initial loss: 30.1622806381
-----------------------------------------------------------------
           OSQP v1.0.0  -  Operator Splitting QP Solver
              (c) The OSQP Developer Team
-----------------------------------------------------------------
problem:  variables n = 225806, constraints m = 226356
          nnz(P) + nnz(A) = 3157842
settings: algebra = Built-in,
          OSQPInt = 4 bytes, OSQPFloat = 8 bytes,
          linear system solver = QDLDL v0.1.8,
          eps_abs = 1.0e-05, eps_rel = 1.0e-05,
          eps_prim_inf = 1.0e-04, eps_dual_inf = 1.0e-04,
          rho = 5.00e-04 (adaptive: 50 iterations),
          sigma = 1.00e-06, alpha = 1.60, max_iter = 50000
          check_termination: on (interval 25, duality gap: on),
          time_limit: 1.00e+10 sec,
          scaling: on (10 iterations), scaled_termination: off
          warm starting: on, polishing: on, 
iter   objective    prim res   dual res   gap        rel kkt    rho         time
20800  -1.9509e-01   2.22e-05   2.48e-07  -1.10e-03   2.22e-05   7.01e-04    1.07e+02s
21000  -1.9510e-01   1.77e-06   2.48e-07  -1.09e-03   1.77e-06   7.01e-04    1.08e+02s
21200  -1.9511e-01   4.81e-05   2.45e-07  -1.08e-03   4.81e-05   7.01e-04    1.09e+02s
21400  -1.9512e-01   1.09e-05   2.42e-07  -1.06e-03   1.09e-05   7.01e-04    1.10e+02s
21600  -1.9513e-01   2.71e-06   2.39e-07  -1.05e-03   2.71e-06   7.01e-04    1.11e+02s
21800  -1.9514e-01   3.23e-05   2.35e-07  -1.04e-03   3.23e-05   7.01e-04    1.12e+02s
22000  -1.9515e-01   6.28e-05   2.35e-07  -1.03e-03   6.28e-05   7.01e-04    1.13e+02s
22100  -1.9515e-01   7.39e-08   2.34e-07  -1.03e-03   2.34e-07   4.33e-05*   1.14e+02s
22150  -1.9518e-01   5.04e-03   2.31e-07  -9.98e-04   5.04e-03   7.01e-04*   1.14e+02s
22200  -1.9519e-01   2.01e-05   2.31e-07  -9.97e-04   2.01e-05   7.01e-04    1.14e+02s
22400  -1.9519e-01   2.73e-05   2.31e-07  -9.88e-04   2.73e-05   7.01e-04    1.15e+02s
22600  -1.9520e-01   1.09e-05   2.31e-07  -9.84e-04   1.09e-05   7.01e-04    1.17e+02s
22800  -1.9521e-01   3.08e-05   2.29e-07  -9.82e-04   3.08e-05   7.01e-04    1.18e+02s
23000  -1.9522e-01   8.09e-06   2.29e-07  -9.75e-04   8.09e-06   7.01e-04    1.19e+02s
23200  -1.9523e-01   1.81e-04   2.28e-07  -9.70e-04   1.81e-04   7.01e-04    1.20e+02s
23400  -1.9523e-01   2.09e-05   2.27e-07  -9.57e-04   2.09e-05   7.01e-04    1.21e+02s
23600  -1.9524e-01   2.09e-05   2.27e-07  -9.49e-04   2.09e-05   7.01e-04    1.22e+02s
23800  -1.9525e-01   3.03e-06   2.26e-07  -9.48e-04   3.03e-06   7.01e-04    1.23e+02s
24000  -1.9525e-01   4.22e-05   2.20e-07  -9.38e-04   4.22e-05   7.01e-04    1.24e+02s
24200  -1.9526e-01   4.93e-05   2.20e-07  -9.31e-04   4.93e-05   7.01e-04    1.25e+02s
24400  -1.9527e-01   3.07e-06   2.20e-07  -9.29e-04   3.07e-06   7.01e-04    1.26e+02s
24600  -1.9527e-01   3.41e-05   2.20e-07  -9.17e-04   3.41e-05   7.01e-04    1.27e+02s
24800  -1.9528e-01   2.24e-07   2.20e-07  -9.16e-04   2.24e-07   7.78e-05*   1.28e+02s
24850  -1.9530e-01   9.55e-04   2.20e-07  -9.07e-04   9.55e-04   5.63e-04*   1.28e+02s
25000  -1.9530e-01   5.36e-06   2.20e-07  -9.03e-04   5.36e-06   5.63e-04    1.29e+02s
25200  -1.9531e-01   4.16e-06   2.21e-07  -9.02e-04   4.16e-06   5.63e-04    1.30e+02s
25400  -1.9532e-01   1.72e-05   2.21e-07  -8.98e-04   1.72e-05   5.63e-04    1.31e+02s
25600  -1.9532e-01   1.82e-05   1.82e-07  -8.97e-04   1.82e-05   5.63e-04    1.32e+02s
25800  -1.9533e-01   6.18e-06   1.80e-07  -8.89e-04   6.18e-06   5.63e-04    1.33e+02s
26000  -1.9534e-01   2.06e-05   1.78e-07  -8.74e-04   2.06e-05   5.63e-04    1.34e+02s
26200  -1.9535e-01   4.60e-06   1.75e-07  -8.64e-04   4.60e-06   5.63e-04    1.35e+02s
26400  -1.9535e-01   7.97e-05   1.74e-07  -8.60e-04   7.97e-05   5.63e-04    1.36e+02s
26500  -1.9536e-01   5.19e-07   1.74e-07  -8.59e-04   5.19e-07   1.07e-04*   1.36e+02s
26550  -1.9537e-01   9.98e-04   1.74e-07  -8.50e-04   9.98e-04   8.90e-04*   1.37e+02s
26600  -1.9537e-01   1.35e-05   1.74e-07  -8.50e-04   1.35e-05   8.90e-04    1.37e+02s
26650  -1.9537e-01   5.18e-07   1.74e-07  -8.46e-04   5.18e-07   1.69e-04*   1.37e+02s
26800  -1.9538e-01   3.45e-04   1.66e-07  -8.39e-04   3.45e-04   8.45e-04*   1.38e+02s
26850  -1.9539e-01   2.88e-07   1.66e-07  -8.39e-04   2.88e-07   1.22e-04*   1.38e+02s
26900  -1.9539e-01   1.17e-03   1.60e-07  -8.30e-04   1.17e-03   1.15e-03*   1.39e+02s
27000  -1.9539e-01   2.98e-08   1.60e-07  -8.31e-04   1.60e-07   5.44e-05*   1.39e+02s
27050  -1.9541e-01   2.70e-03   1.60e-07  -8.25e-04   2.70e-03   7.76e-04*   1.40e+02s
27200  -1.9541e-01   4.67e-06   1.58e-07  -8.21e-04   4.67e-06   7.76e-04    1.40e+02s
27400  -1.9542e-01   8.14e-05   1.58e-07  -8.16e-04   8.14e-05   7.76e-04    1.41e+02s
27600  -1.9542e-01   2.07e-05   1.58e-07  -8.08e-04   2.07e-05   7.76e-04    1.42e+02s
27800  -1.9543e-01   3.64e-06   1.58e-07  -8.03e-04   3.64e-06   7.76e-04    1.43e+02s
28000  -1.9543e-01   4.30e-05   1.58e-07  -7.98e-04   4.30e-05   7.76e-04    1.44e+02s
28150  -1.9543e-01   3.54e-07   1.59e-07  -7.97e-04   3.54e-07   1.28e-04*   1.45e+02s
28200  -1.9544e-01   1.65e-03   1.57e-07  -7.80e-04   1.65e-03   1.44e-03*   1.46e+02s
28250  -1.9544e-01   2.24e-07   1.57e-07  -7.79e-04   2.24e-07   1.89e-04*   1.46e+02s
28300  -1.9545e-01   9.84e-04   1.57e-07  -7.70e-04   9.84e-04   1.65e-03*   1.46e+02s
28400  -1.9545e-01   2.44e-06   1.57e-07  -7.68e-04   2.44e-06   1.65e-03    1.47e+02s
28500  -1.9545e-01   3.66e-07   1.57e-07  -7.68e-04   3.66e-07   2.77e-04*   1.47e+02s
28600  -1.9545e-01   9.79e-05   1.54e-07  -7.57e-04   9.79e-05   2.77e-04    1.48e+02s
28700  -1.9546e-01   7.48e-04   1.55e-07  -7.51e-04   7.48e-04   2.12e-03*   1.48e+02s
28800  -1.9546e-01   1.32e-06   1.55e-07  -7.50e-04   1.32e-06   2.12e-03    1.49e+02s
28850  -1.9546e-01   1.93e-08   1.55e-07  -7.49e-04   1.55e-07   8.23e-05*   1.49e+02s
28900  -1.9547e-01   1.12e-03   1.55e-07  -7.41e-04   1.12e-03   7.69e-04*   1.49e+02s
29000  -1.9547e-01   6.28e-06   1.55e-07  -7.39e-04   6.28e-06   7.69e-04    1.50e+02s
29200  -1.9547e-01   2.74e-05   1.48e-07  -7.36e-04   2.74e-05   7.69e-04    1.51e+02s
29400  -1.9548e-01   6.96e-08   1.48e-07  -7.34e-04   1.48e-07   5.80e-05*   1.52e+02s
29450  -1.9549e-01   4.20e-04   1.48e-07  -7.21e-04   4.20e-04   3.39e-04*   1.52e+02s
29600  -1.9549e-01   1.01e-04   1.45e-07  -7.16e-04   1.01e-04   3.39e-04    1.53e+02s
